sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,raw_CEP_HR,AMP_CEP_HR,BP_CEP_HR,Median_CEP_HR,Wavelet_CEP_HR,AMP->BP_CEP_HR,AMP->Median_CEP_HR,AMP->Wavelet_CEP_HR,BP->AMP_CEP_HR,BP->Median_CEP_HR,BP->Wavelet_CEP_HR,Median->AMP_CEP_HR,Median->BP_CEP_HR,Median->Wavelet_CEP_HR,Wavelet->AMP_CEP_HR,Wavelet->BP_CEP_HR,Wavelet->Median_CEP_HR,best_filter
sample_0,58.0,"[24.11, 54.11]",61.37695312500021,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,125.00000000000045,raw
sample_1,57.0,"[24.55, 54.55]",55.22460937500019,50.00000000000018,60.00000000000021,50.00000000000018,150.00000000000054,100.00000000000036,55.0000000000002,150.00000000000054,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,AMP->BP
sample_2,63.0,"[18.38, 48.38]",62.69531250000023,60.00000000000021,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,60.00000000000021,60.00000000000021,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,67.50000000000024,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,raw
sample_3,59.0,"[25.13, 55.13]",59.03320312499916,59.99999999999915,59.99999999999915,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,raw
sample_4,64.0,"[0.00, 30.00]",65.18554687500023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,75.00000000000027,50.00000000000018,150.00000000000054,raw
sample_5,59.0,"[1.38, 31.38]",63.28125000000023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,raw
sample_6,57.0,"[25.51, 55.51]",69.14062499999902,74.99999999999893,74.99999999999893,74.99999999999893,74.99999999999893,99.99999999999858,74.99999999999893,74.99999999999893,99.99999999999858,74.99999999999893,74.99999999999893,99.99999999999858,74.99999999999893,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,Median->BP
sample_7,69.0,"[9.45, 39.45]",51.12304687500018,55.0000000000002,55.0000000000002,60.00000000000021,87.50000000000031,100.00000000000036,60.00000000000021,87.50000000000031,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,87.50000000000031,50.00000000000018,100.00000000000036,100.00000000000036,62.50000000000023,150.00000000000054,Wavelet->BP
sample_8,55.0,"[0.27, 30.27]",65.69677734367009,60.19999999992678,60.19999999992678,60.19999999992678,100.3333333332113,100.3333333332113,60.19999999992678,100.3333333332113,100.3333333332113,60.19999999992678,100.3333333332113,100.3333333332113,100.3333333332113,50.16666666660565,100.3333333332113,100.3333333332113,50.16666666660565,150.49999999981696,Median->BP
sample_9,64.0,"[1.30, 31.30]",66.65039062500024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,100.00000000000036,67.50000000000024,150.00000000000054,Wavelet->BP
sample_10,62.0,"[25.87, 55.87]",58.88671874999916,49.99999999999929,59.99999999999915,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,42.85714285714225,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,AMP
sample_11,60.0,"[3.46, 33.46]",55.22460937500019,60.00000000000021,60.00000000000021,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,87.50000000000031,100.00000000000036,75.00000000000027,50.00000000000018,100.00000000000036,100.00000000000036,75.00000000000027,100.00000000000036,raw
sample_12,63.0,"[0.00, 30.00]",56.8359375000002,50.00000000000018,60.00000000000021,55.0000000000002,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,46.428571428571594,100.00000000000036,100.00000000000036,50.00000000000018,150.00000000000054,AMP
sample_13,63.0,"[27.55, 57.55]",65.91796874999906,49.99999999999929,54.99999999999922,54.99999999999922,74.99999999999893,99.99999999999858,59.99999999999915,74.99999999999893,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,74.99999999999893,49.99999999999929,99.99999999999858,99.99999999999858,149.99999999999787,149.99999999999787,AMP->BP
sample_14,59.0,"[9.35, 39.35]",60.49804687500021,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,87.50000000000031,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,100.00000000000036,raw
