sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_0,60.05859375000008,58.0,,"[8.40, 38.40]",63.28125000000023,,"[24.11, 54.11]",61.37695312500021,,"[24.11, 54.11]",61.37695312500021,,"[17.26, 47.26]",62.10937500000023,,"[25.67, 55.67]",60.49804687499913
sample_1,62.40234375000009,57.0,,"[16.85, 46.85]",55.5175781250002,,"[24.55, 54.55]",55.22460937500019,,"[24.55, 54.55]",55.22460937500019,,"[15.26, 45.26]",53.90625000000019,,"[26.08, 56.08]",55.22460937499921
sample_2,62.98828125000009,63.0,,"[22.30, 52.30]",62.84179687500023,,"[18.38, 48.38]",62.69531250000023,,"[18.38, 48.38]",62.69531250000023,,"[8.48, 38.48]",62.69531250000023,,"[18.37, 48.37]",62.69531250000023
sample_3,59.252929687500085,59.0,,"[30.00, 60.00]",59.17968749999916,,"[25.13, 55.13]",59.03320312499916,,"[25.13, 55.13]",59.03320312499916,,"[29.11, 59.11]",59.17968749999916,,"[26.64, 56.64]",59.17968749999916
sample_4,64.5263671875001,64.0,,"[15.95, 45.95]",64.45312500000023,,"[0.00, 30.00]",65.18554687500023,,"[0.00, 30.00]",65.18554687500023,,"[21.94, 51.94]",64.16015625000023,,"[0.16, 30.16]",65.18554687500023
sample_5,63.57421875000009,59.0,,"[12.90, 42.90]",62.98828125000023,,"[1.38, 31.38]",63.28125000000023,,"[1.38, 31.38]",63.28125000000023,,"[21.79, 51.79]",58.886718750000206,,"[4.58, 34.58]",64.01367187500023
sample_6,68.3349609375001,57.0,,"[11.15, 41.15]",66.94335937500024,,"[25.51, 55.51]",69.14062499999902,,"[25.51, 55.51]",69.14062499999902,,"[10.86, 40.86]",68.26171875000024,,"[27.28, 57.28]",69.14062499999902
sample_7,53.32031250000007,69.0,,"[17.30, 47.30]",60.79101562500021,,"[9.45, 39.45]",51.12304687500018,,"[9.45, 39.45]",51.12304687500018,,"[27.78, 57.78]",61.96289062499912,,"[9.08, 39.08]",51.12304687500018
sample_8,67.68090820304269,55.0,,"[14.80, 44.80]",58.78906249992849,,"[0.27, 30.27]",65.69677734367009,,"[0.27, 30.27]",65.69677734367009,,"[13.17, 43.17]",58.93603515617831,,"[1.68, 31.68]",60.2587890624267
sample_9,66.8701171875001,64.0,,"[30.00, 60.00]",68.70117187499903,,"[1.30, 31.30]",66.65039062500024,,"[1.30, 31.30]",66.65039062500024,,"[6.21, 36.21]",66.06445312500024,,"[1.52, 31.52]",66.65039062500024
sample_10,65.8447265625001,62.0,,"[14.05, 44.05]",64.16015625000023,,"[25.87, 55.87]",58.88671874999916,,"[25.87, 55.87]",58.88671874999916,,"[6.50, 36.50]",64.89257812500023,,"[27.44, 57.44]",63.72070312499909
sample_11,73.75488281250011,60.0,,"[21.85, 51.85]",56.8359375000002,,"[3.46, 33.46]",55.22460937500019,,"[3.46, 33.46]",55.22460937500019,,"[0.70, 30.70]",74.41406250000027,,"[3.05, 33.05]",55.22460937500019
sample_12,56.46972656250008,63.0,,"[16.55, 46.55]",67.08984375000024,,"[0.00, 30.00]",56.8359375000002,,"[0.00, 30.00]",56.8359375000002,,"[17.22, 47.22]",67.38281250000024,,"[0.00, 30.00]",56.8359375000002
sample_13,62.98828125000009,63.0,,"[10.10, 40.10]",67.08984375000024,,"[27.55, 57.55]",65.91796874999906,,"[27.55, 57.55]",65.91796874999906,,"[16.04, 46.04]",66.06445312500024,,"[26.89, 56.89]",65.77148437499906
sample_14,56.46972656250008,59.0,,"[25.00, 55.00]",58.74023437499917,,"[9.35, 39.35]",60.49804687500021,,"[9.35, 39.35]",60.49804687500021,,"[23.24, 53.24]",56.5429687500002,,"[8.05, 38.05]",60.79101562500021
