sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_0,71.41113281250011,95.0,,"[0.00, 30.00]",71.33789062500026,,"[10.75, 40.75]",106.93359375000038,,"[10.75, 40.75]",106.93359375000038,,"[26.20, 56.20]",57.42187499999919,,"[13.21, 43.21]",107.22656250000038
sample_1,60.20507812500008,108.0,,"[20.50, 50.50]",71.04492187500026,,"[0.74, 30.74]",60.49804687500021,,"[0.74, 30.74]",60.49804687500021,,"[26.80, 56.80]",70.89843749999899,,"[1.78, 31.78]",60.35156250000021
sample_2,78.14941406250011,104.0,,"[4.50, 34.50]",131.10351562500045,,"[19.54, 49.54]",143.2617187500005,,"[19.54, 49.54]",143.2617187500005,,"[8.02, 38.02]",78.66210937500028,,"[24.01, 54.01]",58.740234375000206
sample_3,77.41699218750011,94.0,,"[26.45, 56.45]",77.78320312499889,,"[11.90, 41.90]",62.10937500000023,,"[11.90, 41.90]",62.10937500000023,,"[8.21, 38.21]",61.52343750000021,,"[13.20, 43.20]",62.10937500000023
sample_4,75.29296875000011,91.0,,"[10.25, 40.25]",58.300781250000206,,"[27.16, 57.16]",56.8359374999992,,"[27.16, 57.16]",56.8359374999992,,"[25.79, 55.79]",87.15820312499876,,"[24.87, 54.87]",87.01171874999876
sample_5,63.7126464842975,86.0,,"[27.05, 57.05]",83.0395507811505,,"[4.50, 34.50]",63.63916015617259,,"[4.50, 34.50]",63.63916015617259,,"[11.18, 41.18]",66.87255859366866,,"[4.56, 34.56]",63.63916015617259
sample_6,56.54296875000008,93.0,,"[9.80, 39.80]",64.74609375000023,,"[3.15, 33.15]",65.18554687500023,,"[3.15, 33.15]",65.18554687500023,,"[5.80, 35.80]",65.18554687500023,,"[1.91, 31.91]",65.47851562500023
sample_7,73.68164062500011,94.0,,"[9.35, 39.35]",130.95703125000045,,"[14.89, 44.89]",81.1523437500003,,"[14.89, 44.89]",81.1523437500003,,"[13.99, 43.99]",130.95703125000045,,"[18.04, 48.04]",106.05468750000037
sample_8,63.94042968750009,98.0,,"[17.75, 47.75]",78.22265625000028,,"[28.82, 58.82]",64.30664062499908,,"[28.82, 58.82]",64.30664062499908,,"[9.43, 39.43]",77.92968750000028,,"[27.00, 57.00]",77.78320312499889
sample_9,101.87988281250014,91.0,,"[1.90, 31.90]",101.95312500000036,,"[14.42, 44.42]",102.09960937500036,,"[14.42, 44.42]",102.09960937500036,,"[9.40, 39.40]",59.32617187500021,,"[13.24, 43.24]",102.09960937500036
sample_10,103.78417968750014,97.0,,"[20.25, 50.25]",53.61328125000019,,"[8.15, 38.15]",54.05273437500019,,"[8.15, 38.15]",54.05273437500019,,"[28.00, 58.00]",54.345703124999226,,"[7.90, 37.90]",53.90625000000019
sample_11,54.63867187500008,95.0,,"[6.25, 36.25]",54.63867187500019,,"[11.05, 41.05]",54.63867187500019,,"[11.05, 41.05]",54.63867187500019,,"[4.21, 34.21]",54.78515625000019,,"[6.96, 36.96]",54.63867187500019
sample_12,62.62207031250009,89.0,,"[10.65, 40.65]",49.95117187500018,,"[29.20, 59.20]",76.31835937499892,,"[29.20, 59.20]",76.31835937499892,,"[1.36, 31.36]",59.91210937500021,,"[28.88, 58.88]",76.31835937499892
sample_13,117.48046875000016,111.0,,"[5.70, 35.70]",73.68164062500027,,"[25.78, 55.78]",117.04101562499834,,"[25.78, 55.78]",117.04101562499834,,"[7.20, 37.20]",73.68164062500027,,"[28.80, 58.80]",94.33593749999865
sample_14,79.46777343750011,106.0,,"[3.65, 33.65]",78.66210937500028,,"[22.34, 52.34]",55.07812500000019,,"[22.34, 52.34]",55.07812500000019,,"[6.41, 36.41]",79.39453125000028,,"[21.95, 51.95]",55.07812500000019
sample_15,48.852539062500064,95.0,,"[21.45, 51.45]",95.50781250000033,,"[11.23, 41.23]",99.75585937500036,,"[11.23, 41.23]",99.75585937500036,,"[13.82, 43.82]",99.46289062500036,,"[9.78, 39.78]",100.04882812500036
sample_16,66.4306640625001,97.0,,"[0.85, 30.85]",52.587890625000185,,"[8.19, 38.19]",145.7519531250005,,"[8.19, 38.19]",145.7519531250005,,"[20.04, 50.04]",66.65039062500024,,"[7.72, 37.72]",51.562500000000185
sample_17,56.35449218751975,108.0,,"[10.70, 40.70]",72.99804687502558,,"[26.38, 56.38]",92.70751953128328,,"[26.38, 56.38]",92.70751953128328,,"[3.38, 33.38]",53.72656250001883,,"[30.00, 60.00]",69.3481445312749
sample_18,98.58398437500014,99.0,,"[2.00, 32.00]",95.65429687500034,,"[6.19, 36.19]",95.65429687500034,,"[6.19, 36.19]",95.65429687500034,,"[12.88, 42.88]",66.35742187500024,,"[5.79, 35.79]",95.50781250000033
sample_19,73.97460937500011,93.0,,"[14.60, 44.60]",74.26757812500027,,"[7.57, 37.57]",73.68164062500027,,"[7.57, 37.57]",73.68164062500027,,"[29.80, 59.80]",56.98242187499919,,"[6.12, 36.12]",73.68164062500027
sample_20,64.6728515625001,98.0,,"[0.00, 30.00]",77.05078125000028,,"[3.62, 33.62]",77.19726562500028,,"[3.62, 33.62]",77.19726562500028,,"[1.40, 31.40]",77.34375000000028,,"[0.00, 30.00]",77.05078125000028
sample_21,52.22167968750007,95.0,,"[23.30, 53.30]",49.36523437500017,,"[28.56, 58.56]",88.91601562499874,,"[28.56, 58.56]",88.91601562499874,,"[15.99, 45.99]",52.587890625000185,,"[26.10, 56.10]",106.78710937499848
sample_22,73.24218750000011,92.0,,"[0.85, 30.85]",77.92968750000028,,"[0.29, 30.29]",77.78320312500028,,"[0.29, 30.29]",77.78320312500028,,"[21.24, 51.24]",55.3710937500002,,"[0.00, 30.00]",73.24218750000027
sample_23,73.46191406250011,115.0,,"[8.00, 38.00]",73.24218750000027,,"[4.81, 34.81]",73.38867187500027,,"[4.81, 34.81]",73.38867187500027,,"[5.28, 35.28]",73.24218750000027,,"[4.57, 34.57]",73.38867187500027
sample_24,74.56054687500011,95.0,,"[20.10, 50.10]",91.84570312500031,,"[3.27, 33.27]",73.97460937500027,,"[3.27, 33.27]",73.97460937500027,,"[25.81, 55.81]",91.84570312499869,,"[3.08, 33.08]",73.97460937500027
sample_25,54.63867187500008,93.0,,"[1.20, 31.20]",68.40820312500024,,"[3.03, 33.03]",54.63867187500019,,"[3.03, 33.03]",54.63867187500019,,"[16.21, 46.21]",54.19921875000019,,"[1.54, 31.54]",68.26171875000024
