sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_0,130.85247371754255,88.0,,"[30.00, 60.00]",131.0636835338314,,"[8.03, 38.03]",69.58466072793301,,"[8.03, 38.03]",69.58466072793301,,"[21.47, 51.47]",179.99591839175625,,"[9.81, 39.81]",69.55979408617762
sample_1,125.12279041371724,88.0,,"[13.30, 43.30]",68.49327131304432,,"[21.13, 51.13]",119.17182843186066,,"[21.13, 51.13]",119.17182843186066,,"[4.16, 34.16]",176.93626655895494,,"[18.61, 48.61]",119.06781492839296
sample_2,117.174361287697,88.0,,"[26.80, 56.80]",127.35428918087804,,"[29.41, 59.41]",65.13765249138987,,"[29.41, 59.41]",65.13765249138987,,"[21.03, 51.03]",127.07181387665523,,"[30.00, 60.00]",65.12608560507658
sample_3,126.7435440815549,84.0,,"[30.00, 60.00]",132.16123922290484,,"[4.23, 34.23]",126.69029456023726,,"[4.23, 34.23]",126.69029456023726,,"[24.02, 54.02]",126.30905699253486,,"[0.93, 30.93]",126.85337541058331
sample_4,128.8520843138458,85.0,,"[30.00, 60.00]",127.87694683814084,,"[17.69, 47.69]",119.4673532603839,,"[17.69, 47.69]",119.4673532603839,,"[26.79, 56.79]",120.09445962132125,,"[18.64, 48.64]",119.61992970132948
sample_5,67.06015465574023,88.0,,"[30.00, 60.00]",66.97114537069035,,"[17.92, 47.92]",66.67002164001372,,"[17.92, 47.92]",66.67002164001372,,"[26.73, 56.73]",66.81928833214064,,"[18.17, 48.17]",66.82943263939099
sample_6,130.93675091682363,84.0,,"[30.00, 60.00]",128.0606511598899,,"[20.29, 50.29]",122.09929709505829,,"[20.29, 50.29]",122.09929709505829,,"[15.54, 45.54]",131.21241559379416,,"[21.48, 51.48]",121.96337678700434
sample_7,117.15309861277215,95.0,,"[2.65, 32.65]",121.62843274379757,,"[7.25, 37.25]",130.32062613788978,,"[7.25, 37.25]",130.32062613788978,,"[2.67, 32.67]",121.62843274379757,,"[9.94, 39.94]",122.26886935638368
sample_8,129.95306905813675,89.0,,"[6.45, 36.45]",127.89274441657969,,"[27.17, 57.17]",129.2797816513141,,"[27.17, 57.17]",129.2797816513141,,"[4.13, 34.13]",127.71035028098677,,"[26.58, 56.58]",129.12714908738104
sample_9,124.06005065628987,82.0,,"[8.10, 38.10]",179.91875090885193,,"[28.53, 58.53]",128.4670237433913,,"[28.53, 58.53]",128.4670237433913,,"[6.25, 36.25]",123.76090499328153,,"[30.00, 60.00]",128.4738724362939
sample_10,117.29185094044168,84.0,,"[13.00, 43.00]",129.24125347899025,,"[17.42, 47.42]",124.20587996681719,,"[17.42, 47.42]",124.20587996681719,,"[4.26, 34.26]",123.16789031742346,,"[17.45, 47.45]",124.20587996681719
sample_11,131.891066150906,86.0,,"[12.55, 42.55]",131.35709422317927,,"[24.16, 54.16]",124.63883654376829,,"[24.16, 54.16]",124.63883654376829,,"[11.35, 41.35]",128.76579711583614,,"[25.37, 55.37]",124.78474196430355
sample_12,130.91717526649046,82.0,,"[1.00, 31.00]",131.0734051690634,,"[2.77, 32.77]",118.39694641322481,,"[2.77, 32.77]",118.39694641322481,,"[23.80, 53.80]",118.86302975950652,,"[0.00, 30.00]",131.0734051690634
sample_13,124.4454335192352,81.0,,"[30.00, 60.00]",123.91133294619127,,"[13.51, 43.51]",132.13450108431317,,"[13.51, 43.51]",132.13450108431317,,"[13.75, 43.75]",132.13450108362863,,"[10.20, 40.20]",131.95782363252076
sample_14,123.49129974298918,84.0,,"[30.00, 60.00]",123.22750053300737,,"[6.41, 36.41]",119.21947861554789,,"[6.41, 36.41]",119.21947861554789,,"[5.06, 35.06]",119.21947861555232,,"[7.80, 37.80]",128.3784654490182
sample_15,130.12712696016578,89.0,,"[30.00, 60.00]",123.13797431085118,,"[11.63, 41.63]",130.59505546640224,,"[11.63, 41.63]",130.59505546640224,,"[15.75, 45.75]",130.44249114925893,,"[10.40, 40.40]",130.35608964689922
sample_16,119.6361972293029,84.0,,"[22.25, 52.25]",68.90687271998192,,"[28.82, 58.82]",69.05932155343321,,"[28.82, 58.82]",69.05932155343321,,"[2.99, 32.99]",119.8137635609485,,"[27.66, 57.66]",69.05932155343321
sample_17,70.58977839313718,100.0,,"[30.00, 60.00]",177.95315361041742,,"[16.89, 46.89]",175.84214744656455,,"[16.89, 46.89]",175.84214744656455,,"[11.84, 41.84]",136.94440970299752,,"[19.05, 49.05]",175.59654678786222
sample_18,67.56907989307524,99.0,,"[30.00, 60.00]",126.2652924532524,,"[4.45, 34.45]",179.887683437544,,"[4.45, 34.45]",179.887683437544,,"[25.62, 55.62]",121.53796870198329,,"[0.58, 30.58]",119.31481632583495
sample_19,179.30436714470693,87.0,,"[30.00, 60.00]",128.23337931584794,,"[4.75, 34.75]",179.20157595703176,,"[4.75, 34.75]",179.20157595703176,,"[11.80, 41.80]",179.81162387518,,"[1.28, 31.28]",179.35408793656967
sample_20,128.5757293037322,87.0,,"[20.70, 50.70]",125.7941652607592,,"[23.38, 53.38]",175.46986843177262,,"[23.38, 53.38]",175.46986843177262,,"[23.01, 53.01]",175.46986843177913,,"[21.73, 51.73]",125.9470135782108
sample_21,119.31187315785394,78.0,,"[22.50, 52.50]",121.60046407520409,,"[3.59, 33.59]",122.23619220009661,,"[3.59, 33.59]",122.23619220009661,,"[11.06, 41.06]",116.26041860138709,,"[3.89, 33.89]",122.21075498713509
sample_22,128.07948781559566,87.0,,"[8.35, 38.35]",131.63687762032967,,"[23.07, 53.07]",131.82202403744756,,"[23.07, 53.07]",131.82202403744756,,"[1.73, 31.73]",70.16565898650248,,"[23.35, 53.35]",131.7649366532503
sample_23,122.42005291852696,86.0,,"[13.30, 43.30]",125.26062398599656,,"[26.18, 56.18]",120.95646637574299,,"[26.18, 56.18]",120.95646637574299,,"[16.20, 46.20]",124.83249415496202,,"[23.84, 53.84]",121.09660685960026
sample_24,124.11177054552086,89.0,,"[15.20, 45.20]",128.10711602005722,,"[20.15, 50.15]",128.4121329629716,,"[20.15, 50.15]",128.4121329629716,,"[13.80, 43.80]",112.8562688736435,,"[17.52, 47.52]",130.44106597201414
sample_25,118.16014427305268,90.0,,"[30.00, 60.00]",118.4110803748733,,"[8.31, 38.31]",126.78220681113122,,"[8.31, 38.31]",126.78220681113122,,"[12.39, 42.39]",69.1239940848165,,"[6.32, 36.32]",126.78220681113122
sample_26,68.05960540589385,87.0,,"[13.00, 43.00]",117.11813392273712,,"[29.16, 59.16]",117.95980936940794,,"[29.16, 59.16]",117.95980936940794,,"[7.52, 37.52]",123.72980457349587,,"[30.00, 60.00]",118.0343122845838
sample_27,128.54966091135182,76.0,,"[3.35, 33.35]",131.12338150552665,,"[4.27, 34.27]",131.21928024829558,,"[4.27, 34.27]",131.21928024829558,,"[21.42, 51.42]",128.44918607381675,,"[3.95, 33.95]",131.21928024965518
sample_28,130.49362376899106,90.0,,"[20.70, 50.70]",123.77816243011536,,"[0.92, 30.92]",120.41449787541409,,"[0.92, 30.92]",120.41449787541409,,"[19.99, 49.99]",123.3210865598927,,"[2.02, 32.02]",120.5673081519057
sample_29,119.929827954099,91.0,,"[11.15, 41.15]",118.4243156450299,,"[1.54, 31.54]",127.73840894601751,,"[1.54, 31.54]",127.73840894601751,,"[28.94, 58.94]",119.95040218809929,,"[2.33, 32.33]",127.73840894601751
