sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_0,88.0,"[8.03, 38.03]",69.58466072793301,8.03,38.03,179.69933437108318,179.69933437108318,70.31713084085862,70.31713084085862,125.00823260597089,70.31713084085862,70.31713084085862,125.00823260597089,70.31713084085862,70.31713084085862,125.00823260597089,70.31713084085862,70.31713084085862,70.31713084085862,70.31713084085862,125.00823260597089,62.504116302985445
sample_1,88.0,"[21.13, 51.13]",119.17182843186066,21.13,51.13,179.68853413746365,179.68853413746365,125.00071939997471,70.31290466248579,125.00071939997471,117.18817443747629,70.31290466248579,109.37562947497788,117.18817443747629,70.31290466248579,70.31290466248579,70.31290466248579,70.31290466248579,179.68853413746365,125.00071939997471,125.00071939997471,46.87526977499052
sample_2,88.0,"[29.41, 59.41]",65.13765249138987,29.41,59.41,70.29374770031019,70.29374770031019,70.29374770031019,62.483331289164624,117.15624616718367,70.29374770031019,62.483331289164624,62.483331289164624,70.29374770031019,62.483331289164624,62.483331289164624,62.483331289164624,62.483331289164624,62.483331289164624,109.34582975603809,117.15624616718367,46.86249846687347
sample_3,84.0,"[4.23, 34.23]",126.69029456023726,4.23,34.23,125.0417943418631,132.85690648822955,125.0417943418631,70.336009317298,54.7057850245651,132.85690648822955,70.336009317298,54.7057850245651,132.85690648822955,70.336009317298,117.22668219549665,70.336009317298,70.336009317298,46.89067287819866,54.7057850245651,54.7057850245651,54.7057850245651
sample_4,85.0,"[17.69, 47.69]",119.4673532603839,17.69,47.69,117.17870664620031,117.17870664620031,117.17870664620031,62.49531021130683,124.99062042261366,117.17870664620031,62.49531021130683,124.99062042261366,117.17870664620031,70.30722398772018,124.99062042261366,62.49531021130683,62.49531021130683,62.49531021130683,124.99062042261366,124.99062042261366,46.87148265848012
sample_5,88.0,"[17.92, 47.92]",66.67002164001372,17.92,47.92,124.97959205377398,117.16836755041311,124.97959205377398,70.30102053024787,124.97959205377398,117.16836755041311,70.30102053024787,117.16836755041311,124.97959205377398,70.30102053024787,124.97959205377398,70.30102053024787,70.30102053024787,70.30102053024787,124.97959205377398,124.97959205377398,46.86734702016524
sample_6,84.0,"[20.29, 50.29]",122.09929709505828,20.29,50.29,179.73016532392583,179.73016532392583,132.84403523942342,179.73016532392583,125.02968022533969,132.84403523942342,179.73016532392583,117.21532521125596,132.84403523942342,70.32919512675359,132.84403523942342,62.514840112669845,62.514840112669845,179.73016532392583,132.84403523942342,125.02968022533969,70.32919512675359
sample_7,95.0,"[7.25, 37.25]",130.32062613788978,7.25,37.25,125.0101369229032,125.0101369229032,125.0101369229032,62.5050684614516,109.38386980754031,125.0101369229032,62.5050684614516,109.38386980754031,125.0101369229032,70.31820201913304,117.19700336522175,62.5050684614516,70.31820201913304,62.5050684614516,109.38386980754031,109.38386980754031,46.8788013460887
sample_8,89.0,"[27.17, 57.17]",129.2797816513141,27.17,57.17,179.7401072875885,179.7401072875885,132.851383647348,70.33308546036072,125.0365963739746,132.851383647348,70.33308546036072,125.0365963739746,132.851383647348,70.33308546036072,125.0365963739746,70.33308546036072,70.33308546036072,62.5182981869873,125.0365963739746,125.0365963739746,46.888723640240485
sample_9,82.0,"[28.53, 58.53]",128.4670237433913,28.53,58.53,132.8001157556387,132.8001157556387,132.8001157556387,70.30594363533814,109.364801210526,132.8001157556387,70.30594363533814,109.364801210526,132.8001157556387,70.30594363533814,109.364801210526,70.30594363533814,70.30594363533814,46.87062909022543,124.98834424060112,109.364801210526,46.87062909022543
sample_10,84.0,"[17.42, 47.42]",124.2058799668172,17.42,47.42,124.999332762674,124.999332762674,124.999332762674,62.499666381337,85.93704127433837,124.999332762674,62.499666381337,132.8117910603411,124.999332762674,70.31212467900413,132.8117910603411,62.499666381337,62.499666381337,62.499666381337,132.8117910603411,85.93704127433837,70.31212467900413
sample_11,86.0,"[24.16, 54.16]",124.63883654376828,24.16,54.16,132.78536515017862,132.78536515017862,132.78536515017862,70.29813449127104,124.97446131781517,132.78536515017862,70.29813449127104,124.97446131781517,132.78536515017862,70.29813449127104,124.97446131781517,70.29813449127104,70.29813449127104,70.29813449127104,124.97446131781517,124.97446131781517,62.487230658907585
sample_12,82.0,"[2.77, 32.77]",118.3969464132248,2.77,32.77,132.79987391503977,132.79987391503977,132.79987391503977,62.49405831295989,124.98811662591979,132.79987391503977,62.49405831295989,124.98811662591979,132.79987391503977,70.30581560207987,124.98811662591979,62.49405831295989,62.49405831295989,62.49405831295989,124.98811662591979,124.98811662591979,70.30581560207987
sample_13,81.0,"[13.51, 43.51]",132.13450108431317,13.51,43.51,179.67850863381898,179.67850863381898,132.80585420760534,179.67850863381898,124.99374513656971,132.80585420760534,179.67850863381898,124.99374513656971,132.80585420760534,62.49687256828486,124.99374513656971,179.67850863381898,70.30898163932046,179.67850863381898,124.99374513656971,124.99374513656971,70.30898163932046
sample_14,84.0,"[6.41, 36.41]",119.21947861554789,6.41,36.41,125.05070023285124,125.05070023285124,125.05070023285124,70.34101888097882,125.05070023285124,125.05070023285124,70.34101888097882,132.86636899740446,125.05070023285124,70.34101888097882,125.05070023285124,70.34101888097882,70.34101888097882,179.76038158472366,125.05070023285124,125.05070023285124,62.52535011642562
sample_15,89.0,"[11.63, 41.63]",130.59505546640224,11.63,41.63,179.65973985658326,179.65973985658326,132.79198163312677,179.65973985658326,179.65973985658326,132.79198163312677,179.65973985658326,46.867758223456505,132.79198163312677,70.30163733518475,132.79198163312677,179.65973985658326,62.490344297942,62.490344297942,179.65973985658326,156.225860744855,46.867758223456505
sample_16,84.0,"[28.82, 58.82]",69.05932155343321,28.82,58.82,124.88608436329469,124.88608436329469,124.88608436329469,70.24842245435325,109.27532381788285,124.88608436329469,70.24842245435325,93.66456327247101,124.88608436329469,70.24842245435325,70.24842245435325,70.24842245435325,70.24842245435325,70.24842245435325,109.27532381788285,109.27532381788285,46.83228163623551
sample_17,100.0,"[16.89, 46.89]",175.84214744656455,16.89,46.89,117.32994721021858,117.32994721021858,117.32994721021858,70.39796832613114,117.32994721021858,117.32994721021858,70.39796832613114,132.97394017158106,117.32994721021858,70.39796832613114,117.32994721021858,62.57597184544991,70.39796832613114,70.39796832613114,117.32994721021858,117.32994721021858,54.75397536476867
sample_18,99.0,"[4.45, 34.45]",179.887683437544,4.45,34.45,124.99066180834268,124.99066180834268,124.99066180834268,70.30724726719276,117.17874544532125,124.99066180834268,70.30724726719276,117.17874544532125,124.99066180834268,70.30724726719276,124.99066180834268,70.30724726719276,70.30724726719276,62.49533090417134,124.99066180834268,117.17874544532125,54.68341454114993
