sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_0,76.0,"[17.32, 47.32]",128.62127721720125,17.32,47.32,124.98997662672745,124.98997662672745,124.98997662672745,70.30686185253418,124.98997662672745,124.98997662672745,70.30686185253418,124.98997662672745,124.98997662672745,70.30686185253418,124.98997662672745,70.30686185253418,70.30686185253418,70.30686185253418,124.98997662672745,124.98997662672745,62.49498831336373
sample_1,78.0,"[28.95, 58.95]",126.77596962208996,28.95,58.95,124.97578136512165,124.97578136512165,124.97578136512165,70.29887701788093,124.97578136512165,124.97578136512165,70.29887701788093,124.97578136512165,124.97578136512165,70.29887701788093,117.16479502980154,70.29887701788093,70.29887701788093,70.29887701788093,124.97578136512165,124.97578136512165,46.86591801192061
sample_2,81.0,"[29.11, 59.11]",123.2997118933143,29.11,59.11,117.19576575998191,117.19576575998191,117.19576575998191,70.31745945598914,125.00881681064737,117.19576575998191,70.31745945598914,117.19576575998191,117.19576575998191,70.31745945598914,125.00881681064737,62.50440840532369,70.31745945598914,70.31745945598914,125.00881681064737,125.00881681064737,54.69135735465822
sample_3,83.0,"[9.95, 39.95]",120.3697849295368,9.95,39.95,124.97709482164328,124.97709482164328,124.97709482164328,70.29961583717434,124.97709482164328,124.97709482164328,70.29961583717434,109.35495796893787,124.97709482164328,70.29961583717434,124.97709482164328,70.29961583717434,70.29961583717434,70.29961583717434,124.97709482164328,124.97709482164328,46.86641055811623
sample_4,65.0,"[2.32, 32.32]",69.8915697234708,2.32,32.32,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038,70.3188544292038
sample_5,72.0,"[8.68, 38.68]",71.70864928386312,8.68,38.68,70.30499061703007,70.30499061703007,70.30499061703007,70.30499061703007,132.7983156099457,70.30499061703007,70.30499061703007,132.7983156099457,70.30499061703007,70.30499061703007,70.30499061703007,70.30499061703007,70.30499061703007,70.30499061703007,132.7983156099457,132.7983156099457,70.30499061703007
sample_6,66.0,"[14.39, 44.39]",124.97958971917802,14.39,44.39,125.01010976550751,125.01010976550751,125.01010976550751,70.31818674309797,125.01010976550751,125.01010976550751,70.31818674309797,125.01010976550751,125.01010976550751,70.31818674309797,125.01010976550751,70.31818674309797,70.31818674309797,70.31818674309797,125.01010976550751,125.01010976550751,46.87879116206531
sample_7,71.0,"[6.16, 36.16]",126.03193521075758,6.16,36.16,124.99438417028158,124.99438417028158,124.99438417028158,70.3093410957834,124.99438417028158,124.99438417028158,70.3093410957834,124.99438417028158,124.99438417028158,70.3093410957834,70.3093410957834,70.3093410957834,70.3093410957834,70.3093410957834,124.99438417028158,124.99438417028158,70.3093410957834
sample_8,68.0,"[7.10, 37.10]",125.9772386884126,7.1,37.1,124.940137934077,124.940137934077,124.940137934077,70.27882758791831,124.940137934077,124.940137934077,70.27882758791831,54.661310346158686,124.940137934077,70.27882758791831,70.27882758791831,70.27882758791831,70.27882758791831,70.27882758791831,124.940137934077,124.940137934077,70.27882758791831
sample_9,69.0,"[21.65, 51.65]",132.58307462919433,21.65,51.65,132.79667221777993,132.79667221777993,132.79667221777993,70.3041205858835,124.98510326379287,132.79667221777993,70.3041205858835,132.79667221777993,132.79667221777993,70.3041205858835,124.98510326379287,70.3041205858835,70.3041205858835,62.49255163189643,132.79667221777993,124.98510326379287,54.68098267790938
