sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,ABP_HR,EMD_HR,ROS_HR,LEN_HR,ABP→EMD_HR,ABP→ROS_HR,ABP→LEN_HR,EMD→ABP_HR,EMD→ROS_HR,EMD→LEN_HR,ROS→ABP_HR,ROS→EMD_HR,ROS→LEN_HR,LEN→ABP_HR,LEN→EMD_HR,LEN→ROS_HR
sample_0,58.0,"[24.11, 54.11]",61.37695312500021,24.11,54.11,59.76562500000021,59.76562500000021,60.35156250000021,60.35156250000021,60.35156250000021,59.76562500000021,59.76562500000021,60.35156250000021,60.35156250000021,60.35156250000021,60.93750000000021,60.35156250000021,61.52343750000021,60.93750000000021,60.35156250000021,60.93750000000021,60.35156250000021
sample_1,57.0,"[24.55, 54.55]",55.22460937500019,24.55,54.55,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,56.2500000000002,55.07812500000019,55.6640625000002,55.6640625000002,55.6640625000002,55.6640625000002,56.8359375000002,56.2500000000002
sample_2,63.0,"[18.38, 48.38]",62.69531250000023,18.38,48.38,62.69531250000023,62.69531250000023,63.86718750000023,63.86718750000023,62.10937500000023,62.69531250000023,62.69531250000023,62.10937500000023,63.86718750000023,64.45312500000023,120.70312500000043,63.28125000000023,65.03906250000023,62.10937500000023,62.10937500000023,121.28906250000043,62.69531250000023
sample_3,59.0,"[25.13, 55.13]",59.03320312499916,25.13,55.13,59.17968749999916,59.76562499999915,59.76562499999915,59.76562499999915,59.76562499999915,59.76562499999915,59.76562499999915,59.76562499999915,59.76562499999915,60.35156249999915,60.35156249999915,59.76562499999915,60.35156249999915,59.76562499999915,59.76562499999915,59.76562499999915,60.35156249999915
sample_4,64.0,"[0.00, 30.00]",65.18554687500023,0.0,30.0,63.86718750000023,63.86718750000023,65.03906250000023,76.17187500000027,63.86718750000023,64.45312500000023,65.62500000000024,63.28125000000023,65.03906250000023,83.2031250000003,63.86718750000023,76.75781250000027,77.92968750000028,63.28125000000023,63.86718750000023,64.45312500000023,61.52343750000021
sample_5,59.0,"[1.38, 31.38]",63.28125000000023,1.38,31.38,68.55468750000024,68.55468750000024,94.33593750000033,90.82031250000031,70.31250000000026,69.14062500000024,69.72656250000026,69.14062500000024,94.33593750000033,73.82812500000027,93.75000000000033,118.35937500000043,118.35937500000043,70.89843750000026,70.31250000000026,94.33593750000033,72.65625000000026
sample_6,57.0,"[25.51, 55.51]",69.14062499999902,25.51,55.51,69.14062499999902,69.14062499999902,69.14062499999902,69.72656249999902,69.72656249999902,69.14062499999902,69.72656249999902,69.72656249999902,69.14062499999902,69.72656249999902,70.312499999999,69.72656249999902,69.14062499999902,70.312499999999,69.72656249999902,70.312499999999,70.312499999999
sample_7,69.0,"[9.45, 39.45]",51.12304687500018,9.45,39.45,55.6640625000002,138.8671875000005,138.28125000000048,137.69531250000048,57.421875000000206,138.8671875000005,138.8671875000005,131.83593750000048,138.8671875000005,138.28125000000048,58.593750000000206,138.28125000000048,138.28125000000048,58.593750000000206,57.421875000000206,74.41406250000027,57.421875000000206
sample_8,55.0,"[0.27, 30.27]",65.69677734367009,0.27,30.27,67.01953124991849,67.01953124991849,82.89257812489917,66.4316406249192,63.49218749992278,67.01953124991849,68.19531249991705,62.90429687492348,82.89257812489917,82.3046874998999,83.48046874989845,66.4316406249192,117.57812499985698,63.49218749992278,62.90429687492348,62.90429687492348,67.01953124991849
sample_9,64.0,"[1.30, 31.30]",66.65039062500024,1.3,31.3,67.38281250000024,76.75781250000027,77.92968750000028,68.55468750000024,76.17187500000027,77.34375000000028,77.34375000000028,76.75781250000027,77.92968750000028,76.75781250000027,76.75781250000027,68.55468750000024,137.10937500000048,66.79687500000024,76.75781250000027,76.75781250000027,67.96875000000024
sample_10,62.0,"[25.87, 55.87]",58.88671874999916,25.87,55.87,58.007812499999176,77.3437499999989,77.3437499999989,59.17968749999916,62.10937499999912,77.92968749999889,77.92968749999889,62.10937499999912,77.92968749999889,96.67968749999862,61.52343749999912,77.92968749999889,93.16406249999868,62.695312499999105,62.10937499999912,61.52343749999912,62.695312499999105
sample_11,60.0,"[3.46, 33.46]",55.22460937500019,3.46,33.46,74.41406250000027,74.41406250000027,75.00000000000027,63.28125000000023,70.31250000000026,75.00000000000027,75.58593750000027,71.48437500000026,75.00000000000027,69.72656250000026,70.31250000000026,63.28125000000023,65.03906250000023,66.79687500000024,70.89843750000026,71.48437500000026,68.55468750000024
sample_12,63.0,"[0.00, 30.00]",56.8359375000002,0.0,30.0,57.421875000000206,57.421875000000206,149.41406250000054,149.41406250000054,65.03906250000023,57.421875000000206,58.007812500000206,64.45312500000023,149.41406250000054,149.41406250000054,66.79687500000024,149.41406250000054,149.41406250000054,66.21093750000024,65.03906250000023,66.79687500000024,66.21093750000024
sample_13,63.0,"[27.55, 57.55]",65.91796874999906,27.55,57.55,65.62499999999906,65.62499999999906,66.21093749999905,65.62499999999906,65.62499999999906,65.62499999999906,65.62499999999906,65.62499999999906,66.21093749999905,66.21093749999905,65.62499999999906,65.62499999999906,66.21093749999905,65.62499999999906,65.62499999999906,65.62499999999906,65.62499999999906
sample_14,59.0,"[9.35, 39.35]",60.49804687500021,9.35,39.35,59.17968750000021,84.3750000000003,84.96093750000031,72.07031250000026,70.31250000000026,84.96093750000031,84.3750000000003,70.31250000000026,84.96093750000031,86.71875000000031,70.31250000000026,72.07031250000026,85.54687500000031,62.69531250000023,70.31250000000026,71.48437500000026,70.31250000000026
sample_15,65.0,"[13.27, 43.27]",67.38281250000024,13.27,43.27,66.79687500000024,66.79687500000024,66.79687500000024,66.21093750000024,66.79687500000024,66.79687500000024,66.21093750000024,65.62500000000024,66.79687500000024,63.86718750000023,66.21093750000024,66.21093750000024,66.21093750000024,65.62500000000024,66.79687500000024,67.38281250000024,65.62500000000024
sample_16,66.0,"[2.04, 32.04]",84.0820312500003,2.04,32.04,91.40625000000031,91.40625000000031,92.57812500000033,87.89062500000031,86.13281250000031,92.57812500000033,91.99218750000033,93.75000000000033,93.16406250000033,124.80468750000045,93.16406250000033,87.89062500000031,124.80468750000045,86.71875000000031,86.13281250000031,89.64843750000031,125.97656250000045
sample_17,68.0,"[1.16, 31.16]",61.96289062500023,1.16,31.16,65.03906250000023,65.03906250000023,65.62500000000024,64.45312500000023,60.93750000000021,65.03906250000023,65.03906250000023,59.76562500000021,65.62500000000024,65.62500000000024,106.05468750000037,64.45312500000023,65.03906250000023,60.93750000000021,60.93750000000021,63.86718750000023,62.10937500000023
sample_18,65.0,"[16.66, 46.66]",65.18554687500023,16.66,46.66,64.45312500000023,64.45312500000023,63.86718750000023,63.86718750000023,65.03906250000023,64.45312500000023,64.45312500000023,65.03906250000023,64.45312500000023,63.86718750000023,65.03906250000023,63.86718750000023,63.86718750000023,64.45312500000023,65.03906250000023,65.03906250000023,63.86718750000023
sample_19,63.0,"[1.54, 31.54]",66.50390625000024,1.54,31.54,65.62500000000024,65.62500000000024,130.66406250000045,67.38281250000024,65.03906250000023,67.38281250000024,66.21093750000024,62.10937500000023,131.83593750000048,133.00781250000048,68.55468750000024,67.38281250000024,68.55468750000024,66.79687500000024,65.62500000000024,69.72656250000026,68.55468750000024
sample_20,67.0,"[16.67, 46.67]",65.77148437500024,16.67,46.67,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.21093750000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,66.79687500000024,67.38281250000024,66.79687500000024
sample_21,67.0,"[23.82, 53.82]",64.45312500000023,23.82,53.82,65.03906250000023,65.03906250000023,65.62500000000024,65.03906250000023,65.62500000000024,65.62500000000024,65.03906250000023,65.62500000000024,65.62500000000024,65.62500000000024,65.62500000000024,65.03906250000023,65.62500000000024,66.21093750000024,65.62500000000024,65.62500000000024,65.62500000000024
sample_22,61.0,"[15.10, 45.10]",66.65039062500024,15.1,45.1,68.55468750000024,68.55468750000024,68.55468750000024,69.72656250000026,69.14062500000024,68.55468750000024,67.96875000000024,69.14062500000024,68.55468750000024,68.55468750000024,69.14062500000024,69.72656250000026,69.72656250000026,69.72656250000026,69.14062500000024,69.14062500000024,69.72656250000026
