sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,ABP_HR,EMD_HR,ROS_HR,LEN_HR,ABP→EMD_HR,ABP→ROS_HR,ABP→LEN_HR,EMD→ABP_HR,EMD→ROS_HR,EMD→LEN_HR,ROS→ABP_HR,ROS→EMD_HR,ROS→LEN_HR,LEN→ABP_HR,LEN→EMD_HR,LEN→ROS_HR
sample_0,88.0,"[8.03, 38.03]",69.58466072793301,8.03,38.03,179.45517766677463,69.58466072793301,131.84462032660994,70.19505248870436,69.58466072793301,69.58466072793301,70.19505248870436,69.58466072793301,131.84462032660994,120.24717687195444,132.45501208738128,70.19505248870436,118.4160015896404,70.19505248870436,69.58466072793301,131.84462032660994,69.58466072793301
sample_1,88.0,"[21.13, 51.13]",119.17182843186066,21.13,51.13,179.44439210738557,121.46065996384262,120.23994981345226,121.46065996384262,117.79852951267148,120.23994981345226,121.46065996384262,123.90208026462338,120.23994981345226,120.23994981345226,118.40888458786668,121.46065996384262,120.85030488864743,120.85030488864743,117.79852951267148,117.18817443747629,117.18817443747629
sample_2,88.0,"[29.41, 59.41]",65.13765249138987,29.41,59.41,66.51057725116155,66.51057725116155,126.30907789899489,67.12076603328231,66.51057725116155,66.51057725116155,66.51057725116155,67.12076603328231,126.30907789899489,126.30907789899489,128.13964424535715,67.12076603328231,125.69888911687416,66.51057725116155,66.51057725116155,126.91926668111564,67.12076603328231
sample_3,84.0,"[4.23, 34.23]",126.69029456023726,4.23,34.23,127.60612801488959,127.60612801488959,127.60612801488959,128.21668365132444,127.60612801488959,126.99557237845471,127.60612801488959,126.38501674201984,127.60612801488959,126.38501674201984,126.99557237845471,128.21668365132444,127.60612801488959,128.21668365132444,127.60612801488959,126.38501674201984,127.60612801488959
sample_4,85.0,"[17.69, 47.69]",119.4673532603839,17.69,47.69,120.84054122889407,120.84054122889407,120.84054122889407,120.84054122889407,119.61992970132948,120.23023546511178,120.84054122889407,120.23023546511178,120.23023546511178,120.23023546511178,119.61992970132948,120.84054122889407,120.23023546511178,119.61992970132948,119.61992970132948,119.61992970132948,119.61992970132948
sample_5,88.0,"[17.92, 47.92]",66.67002164001372,17.92,47.92,120.21962712203846,120.21962712203846,119.60937520771338,122.05038286501366,120.21962712203846,119.60937520771338,120.82987903636351,118.99912329338831,119.60937520771338,119.60937520771338,119.60937520771338,122.05038286501366,120.82987903636351,120.82987903636351,120.21962712203846,119.60937520771338,120.21962712203846
sample_6,84.0,"[20.29, 50.29]",122.09929709505828,20.29,50.29,179.48596672973568,128.8147584352865,128.2042619498112,128.8147584352865,124.54128303695946,127.59376546433592,128.2042619498112,122.70979358053359,127.59376546433592,128.2042619498112,123.93078655148416,128.8147584352865,128.2042619498112,125.15177952243475,124.54128303695946,123.93078655148416,123.93078655148416
sample_7,95.0,"[7.25, 37.25]",130.32062613788978,7.25,37.25,121.46981077957878,121.46981077957878,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849,121.46981077957878,120.8594097203849,120.24900866119106,120.8594097203849,120.8594097203849,120.8594097203849,120.8594097203849
sample_8,89.0,"[27.17, 57.17]",129.2797816513141,27.17,57.17,130.04294447097948,130.04294447097948,129.43241421524718,129.43241421524718,129.43241421524718,129.43241421524718,130.04294447097948,130.04294447097948,129.43241421524718,129.43241421524718,129.43241421524718,129.43241421524718,128.82188395951485,128.82188395951485,129.43241421524718,128.82188395951485,129.43241421524718
sample_9,82.0,"[28.53, 58.53]",128.4670237433913,28.53,58.53,129.99276036742208,129.99276036742208,129.99276036742208,129.99276036742208,130.6030550170344,129.99276036742208,129.99276036742208,129.99276036742208,129.99276036742208,129.99276036742208,129.99276036742208,129.99276036742208,129.38246571780977,130.6030550170344,130.6030550170344,129.99276036742208,130.6030550170344
sample_10,84.0,"[17.42, 47.42]",124.2058799668172,17.42,47.42,126.34209903258555,126.34209903258555,125.73175072808031,126.95244733709079,127.56279564159605,125.73175072808031,126.34209903258555,127.56279564159605,125.73175072808031,125.73175072808031,128.17314394610128,126.95244733709079,126.95244733709079,128.17314394610128,68.96935840909259,126.95244733709079,126.34209903258555
sample_11,86.0,"[24.16, 54.16]",124.63883654376828,24.16,54.16,131.8090021711332,131.19877530922977,130.5885484473264,131.8090021711332,131.19877530922977,131.19877530922977,131.19877530922977,130.5885484473264,130.5885484473264,130.5885484473264,131.19877530922977,131.8090021711332,131.8090021711332,131.8090021711332,131.19877530922977,131.19877530922977,130.5885484473264
sample_12,82.0,"[2.77, 32.77]",118.3969464132248,2.77,32.77,129.9925236392623,129.9925236392623,126.94105594819979,130.6028171774748,124.49988179534981,128.1616430246248,129.3822301010498,125.7204688717748,124.49988179534981,123.8895882571373,123.27929471892482,130.6028171774748,129.3822301010498,131.2131107156873,124.49988179534981,122.66900118071231,125.1101753335623
sample_13,81.0,"[13.51, 43.51]",132.13450108431317,13.51,43.51,179.43438022534906,131.21901955255117,130.60869853137655,128.77773546785255,131.21901955255117,130.60869853137655,131.21901955255117,132.43966159490049,130.60869853137655,129.99837751020186,131.82934057372586,128.77773546785255,128.16741444667792,129.99837751020186,131.21901955255117,130.60869853137655,130.60869853137655
sample_14,84.0,"[6.41, 36.41]",119.21947861554789,6.41,36.41,125.17282005729739,125.17282005729739,123.95162181283595,122.73042356837452,123.95162181283595,123.95162181283595,125.17282005729739,122.73042356837452,123.95162181283595,124.56222093506669,123.34102269060524,122.73042356837452,118.4562297127595,122.73042356837452,123.95162181283595,122.11982444614381,124.56222093506669
sample_15,89.0,"[11.63, 41.63]",130.59505546640224,11.63,41.63,179.41563694916942,131.8155700034714,131.20531273493683,131.8155700034714,131.20531273493683,131.20531273493683,131.8155700034714,131.8155700034714,131.20531273493683,131.20531273493683,131.8155700034714,131.8155700034714,131.20531273493683,131.20531273493683,131.20531273493683,131.20531273493683,131.20531273493683
